 dataset a_congruent_S v_congruent_S t0_congruent_S      st0 a_incongruent_S v_incongruent_S t0_incongruent_S a_congruent_A v_congruent_A t0_congruent_A a_incongruent_A v_incongruent_A t0_incongruent_A  penalty      fit     time   method
 10_stroopfdminput   1.4815   3.9336   0.5263   0.4646   1.2830   1.5184   0.5952   3.7603  12.6127   0.5229   1.4470   2.8487   0.5647   0.0000 -41.2169  37.0860       ML
 11_stroopfdminput   1.5708   4.0481   0.6148   0.5514   1.3523   2.9303   0.6763   1.9762   4.4757   0.5172   1.3330   1.7937   0.6006   0.0000 -10.1310  38.7500       ML
 12_stroopfdminput   1.9619   3.2145   0.4087   0.3977   1.5955   1.5548   0.4685   1.8492   3.5008   0.4365   1.1672   2.6993   0.5400   0.0000 -13.4609  17.9170       ML
 13_stroopfdminput   1.5621   2.3282   0.3919   0.3167   1.1008   2.5006   0.4988   1.5811   4.0682   0.4941   7.9090   6.1085   0.1583   0.0000 -60.6180  27.9090       ML
 15_stroopfdminput   0.9524   2.7981   0.5179   0.2238   1.3081   1.6465   0.4600   1.0838   3.5003   0.5085   1.2538   1.9187   0.5270   0.0000 -51.6895   8.9020       ML
 19_stroopfdminput   2.3040   4.5164   0.2739   0.1013   1.4950   2.6830   0.3478   1.4809   3.0923   0.3237   2.8118   3.3532   0.2770   0.0000 -107.1069   6.5890       ML
 20_stroopfdminput   1.5932   4.2173   0.4292   0.1550   2.3942   3.7849   0.3854   1.4634   3.4412   0.3971   4.4934   5.5989   0.2627   0.0000 -135.4388  15.1070       ML
 21_stroopfdminput   0.9971   2.6960   0.4090   0.1979   1.3084   2.2701   0.3778   1.4213   2.1471   0.3808   1.2405   2.1571   0.4223   0.0000 -43.4202   6.7870       ML
 22_stroopfdminput   1.1328   2.7178   0.3952   0.2379   1.1928   2.2916   0.4622   1.3807   2.5867   0.4011   1.1119   2.1414   0.4812   0.0000 -52.2970  10.4150       ML
 23_stroopfdminput   1.8169   3.1562   0.4772   0.1614   1.9198   2.4669   0.5174   1.3161   2.7099   0.5208   4.1423   4.0081   0.3905   0.0000 -65.3358  11.8010       ML
 24_stroopfdminput   1.4982   4.0351   0.4596   0.2078   1.8654   2.0563   0.3741   0.9259   4.9902   0.4541   1.2002   2.3596   0.5487   0.0000 -104.3631  11.4800       ML
 26_stroopfdminput   1.5208   2.4411   0.5281   0.3197   1.4638   1.0425   0.5454   1.8343   3.4060   0.4279   1.3986   1.9048   0.5796   0.0000  12.7771  11.5880       ML
 27_stroopfdminput   1.4319   2.7221   0.3521   0.1782   1.2471   2.1980   0.3931   1.4245   3.3708   0.3977   1.8227   2.1335   0.3403   0.0000 -55.6680   7.7100       ML
 29_stroopfdminput   1.3343   6.3309   0.6079   0.1820   1.6554   4.5956   0.5801   0.9749   3.8971   0.5433   1.2825   2.4510   0.5536   0.0000 -158.4151  13.4570       ML
 2_stroopfdminput   1.6019   4.0774   0.4065   0.2474   4.2786   3.6295   0.1579   2.0085   3.1973   0.3537   1.9738   2.4592   0.3740   0.0000 -58.5554  24.0390       ML
 31_stroopfdminput   0.9678   3.9397   0.4595   0.1485   1.8757   4.1704   0.4106   2.1263   5.1083   0.3505   2.6665   4.5907   0.3538   0.0000 -167.4183  14.4900       ML
 32_stroopfdminput   1.3863   4.5980   0.4402   0.2366   1.5814   1.9769   0.4419   1.3263   4.1696   0.4444   1.3962   2.2705   0.4570   0.0000 -80.5561  11.7340       ML
 33_stroopfdminput   1.3613   4.1863   0.4952   0.2117   0.9802   3.1603   0.6206   6.5045   5.1770   0.1058   1.4919   2.6321   0.5634   0.0000 -102.2251  16.1470       ML
 34_stroopfdminput   1.7349   2.6654   0.4927   0.1869   2.7315   3.4314   0.4594   1.1925   4.3071   0.6455   1.8034   4.7720   0.5946   0.0000 -117.0244  14.9300       ML
 4_stroopfdminput   1.0307   2.5958   0.4165   0.2125   1.2810   2.1071   0.4122   0.8741   3.5061   0.4423   1.2208   2.6522   0.4050   0.0000 -79.1595  11.5330       ML
 5_stroopfdminput   1.4163   4.2143   0.3578   0.1185   1.0106   2.1102   0.3796   3.6637   4.3805   0.2018   1.5760   2.1275   0.3903   0.0000 -94.7371  12.5970       ML
 6_stroopfdminput   1.2921   3.9093   0.4282   0.2227   1.2581   1.7066   0.4893   0.9687   3.9467   0.4978   1.7248   3.8974   0.5275   0.0000 -109.7158  13.1360       ML
 7_stroopfdminput   2.0696   2.9870   0.3433   0.3401   1.5737   2.7360   0.4766   1.3553   2.7453   0.4343   1.3093   2.1098   0.5287   0.0000 -29.8294  16.6970       ML
 8_stroopfdminput   1.2564   2.9704   0.4309   0.3679   1.4342   2.2972   0.4688   1.3247   5.6059   0.4871   1.4330   1.7220   0.4780   0.0000 -35.6269  19.2930       ML
