  dataset a_congruent_S v_congruent_S     t0_S      st0 a_incongruent_S v_incongruent_S a_congruent_A v_congruent_A     t0_A a_incongruent_A v_incongruent_A  penalty      fit     time   method
 10_stroopfdminput   1.2155   3.9983   0.5724   0.4608   1.3513   1.4904   2.2305  10.0736   0.5616   1.4633   2.8460   0.0000 -40.5943  20.9920       ML
 11_stroopfdminput   1.2834   4.1074   0.6599   0.5589   1.4430   2.9211   1.3650   4.2109   0.5792   1.3898   1.7601   0.0000  -9.4250  39.9560       ML
 12_stroopfdminput   1.6663   3.0806   0.4444   0.3922   1.6721   1.5418   1.3937   3.3268   0.4942   1.3306   2.5617   0.0000 -11.7700  11.9930       ML
 13_stroopfdminput   1.3392   2.3545   0.4473   0.3112   1.2997   2.3588   2.8722   4.8894   0.3944   3.8087   4.6468   0.0000 -57.2556  16.3870       ML
 15_stroopfdminput   1.0544   2.7267   0.4950   0.2385   1.1971   1.6869   1.0239   3.5761   0.5218   1.2783   1.9242   0.0000 -49.9835   7.5090       ML
 19_stroopfdminput   1.5051   3.9655   0.3385   0.1334   1.5821   2.7501   1.5052   3.1319   0.3229   2.3353   3.1266   0.0000 -106.2298   4.8200       ML
 20_stroopfdminput   1.7774   4.4527   0.4184   0.1668   2.0158   3.5568   1.5274   3.4936   0.3913   2.4650   4.5228   0.0000 -134.9156   7.6000       ML
 21_stroopfdminput   1.0688   2.6105   0.3900   0.1816   1.2493   2.2638   1.3652   2.1332   0.3918   1.3578   2.1129   0.0000 -42.5946   4.6350       ML
 22_stroopfdminput   1.0730   2.7243   0.4069   0.2286   1.4037   2.1938   1.2316   2.5759   0.4305   1.3063   2.0521   0.0000 -48.2789   6.6850       ML
 23_stroopfdminput   1.6111   3.0602   0.5022   0.1699   2.0431   2.5243   1.3425   2.7194   0.5167   2.6054   3.3331   0.0000 -64.7682   7.3540       ML
 24_stroopfdminput   2.6513   5.0547   0.3806   0.2102   1.9055   2.1642   0.8852   5.6368   0.4647   1.4799   2.2166   0.0000 -97.3605   7.7980       ML
 26_stroopfdminput   1.4735   2.4406   0.5381   0.3181   1.4818   1.0383   1.4458   3.2375   0.4767   1.7163   1.8043   0.0000  15.6285   8.5290       ML
 27_stroopfdminput   1.3005   2.7240   0.3768   0.1883   1.3218   2.1957   1.6752   3.5199   0.3703   1.6788   2.1127   0.0000 -54.5706   6.1670       ML
 29_stroopfdminput   1.7612   6.9445   0.5867   0.1805   1.5584   4.4916   0.9618   3.8947   0.5449   1.3209   2.4422   0.0000 -158.3250 521.4620       ML
 2_stroopfdminput   2.7647   4.9903   0.3262   0.2579   2.5075   2.9666   1.8413   3.1328   0.3739   1.9926   2.4845   0.0000 -57.9276  11.8150       ML
 31_stroopfdminput   1.0314   3.9742   0.4519   0.1638   1.3876   3.7913   1.7561   4.8943   0.3791   2.3530   4.4349   0.0000 -166.6776   7.3120       ML
 32_stroopfdminput   1.3799   4.5814   0.4403   0.2348   1.5877   1.9756   1.2638   4.1369   0.4512   1.4215   2.2669   0.0000 -80.5203   8.0850       ML
 33_stroopfdminput   1.0191   4.1652   0.5387   0.2404   1.3873   2.9421   2.2353   3.3877   0.4010   2.5803   2.8844   0.0000 -88.2488   9.9330       ML
 34_stroopfdminput   1.7416   2.6810   0.4930   0.1956   2.3650   3.2481   1.3809   4.4331   0.6271   1.3757   4.4028   0.0000 -116.5831   5.9790       ML
 4_stroopfdminput   1.0244   2.6236   0.4195   0.2257   1.2570   2.1243   0.9472   3.4348   0.4279   1.1145   2.7071   0.0000 -78.3676   6.3350       ML
 5_stroopfdminput   1.2133   4.1066   0.3784   0.1389   1.0217   2.1224   1.6776   3.2244   0.3597   1.7537   2.1770   0.0000 -92.6841   8.7310       ML
 6_stroopfdminput   1.3494   4.1568   0.4315   0.2296   1.4246   1.7168   0.9820   3.7206   0.4930   2.4472   4.7944   0.0000 -103.6077  13.1080       ML
 7_stroopfdminput   1.5205   2.8467   0.4301   0.3315   1.8606   2.7709   1.1872   2.8026   0.4747   1.5219   2.0481   0.0000 -26.4710  17.6880       ML
 8_stroopfdminput   1.2001   2.9880   0.4431   0.3571   1.5391   2.2589   1.4399   5.5868   0.4749   1.4376   1.7097   0.0000 -35.3577  19.3550       ML
