  dataset a_congruent_S v_congruent_S t0_congruent_S      st0 a_incongruent_S v_incongruent_S t0_incongruent_S a_congruent_A v_congruent_A t0_congruent_A a_incongruent_A v_incongruent_A t0_incongruent_A  penalty      fit     time   method
 10_stroopfdminput   1.4815   3.9336   0.5263   0.4646   1.2830   1.5184   0.5952   3.7603  12.6127   0.5229   1.4470   2.8487   0.5647   0.0000 -41.2169  34.1950       ML
 11_stroopfdminput   1.5708   4.0481   0.6148   0.5514   1.3523   2.9303   0.6763   1.9762   4.4757   0.5172   1.3330   1.7937   0.6006   0.0000 -10.1310  35.6300       ML
 12_stroopfdminput   1.9619   3.2145   0.4087   0.3977   1.5955   1.5548   0.4685   1.8492   3.5008   0.4365   1.1672   2.6993   0.5400   0.0000 -13.4609  16.8460       ML
 13_stroopfdminput   1.4133   2.5985   0.4200   0.3197   1.0993   2.5485   0.5004   1.5701   4.0816   0.4944   6.8842   5.7818   0.2096   0.0000 -66.9363  26.9600       ML
 15_stroopfdminput   0.9497   2.8079   0.5187   0.2285   1.2135   1.7399   0.4741   1.0774   3.5163   0.5103   1.2039   1.9805   0.5347   0.0000 -58.5760   9.4840       ML
 19_stroopfdminput   2.0566   4.3767   0.2942   0.1178   1.4667   2.6990   0.3543   1.4201   3.7019   0.3418   5.6444   4.9943   0.1048   0.0000 -122.2517  10.2300       ML
 20_stroopfdminput   1.5853   4.2892   0.4339   0.1678   4.2313   5.4244   0.2919   1.3730   4.0714   0.4182   8.9616   7.9103   0.0880   0.0000 -152.4322  13.9420       ML
 21_stroopfdminput   0.9936   2.7053   0.4102   0.2007   1.3647   2.6148   0.3774   1.3283   2.3009   0.3939   1.2364   2.1611   0.4235   0.0000 -54.7427   7.3270       ML
 22_stroopfdminput   1.1305   2.7227   0.3958   0.2408   1.1877   2.2979   0.4639   1.2386   2.9999   0.4247   1.1089   2.1443   0.4820   0.0000 -60.8269   8.7360       ML
 23_stroopfdminput   1.7257   3.4493   0.5001   0.1935   1.8160   2.4695   0.5371   1.2120   2.9572   0.5439   3.8825   3.9633   0.4176   0.0000 -73.0958  12.5150       ML
 24_stroopfdminput   1.4286   4.2092   0.4737   0.2197   1.9033   2.3225   0.3826   1.0446   5.8222   0.4531   1.3076   2.2457   0.5028   0.0000 -103.2999   9.9760       ML
 26_stroopfdminput   1.5208   2.4411   0.5281   0.3197   1.4638   1.0425   0.5454   1.8343   3.4060   0.4279   1.3986   1.9048   0.5796   0.0000  12.7771  10.4620       ML
 27_stroopfdminput   1.4308   2.7268   0.3528   0.1799   1.2445   2.2010   0.3939   1.4244   3.3720   0.3978   1.7733   2.2075   0.3490   0.0000 -58.1733   6.0820       ML
 29_stroopfdminput   1.3343   6.3309   0.6079   0.1820   1.6554   4.5956   0.5801   0.9749   3.8971   0.5433   1.2825   2.4510   0.5536   0.0000 -158.4151  12.3190       ML
 2_stroopfdminput   1.6019   4.0774   0.4065   0.2474   4.2786   3.6295   0.1579   2.0085   3.1973   0.3537   1.9738   2.4592   0.3740   0.0000 -58.5554  21.5690       ML
 31_stroopfdminput   0.8523   4.4914   0.4773   0.1704   2.0784   4.8930   0.4120   1.5968   4.7946   0.3920   6.1730   7.2773   0.2053   0.0000 -180.3304  13.9760       ML
 32_stroopfdminput   1.2945   4.7051   0.4548   0.2558   1.5098   2.0473   0.4571   1.3471   4.2672   0.4465   1.2680   2.4963   0.4807   0.0000 -87.5070   9.1700       ML
 33_stroopfdminput   1.6381   5.7414   0.4999   0.2252   0.9664   3.2262   0.6253   6.4841   5.2198   0.1126   1.4739   2.6548   0.5696   0.0000 -109.5119  17.0200       ML
 34_stroopfdminput   1.7226   2.6658   0.4948   0.1910   7.3743   6.1222   0.2185   1.1484   5.2274   0.6616   1.7463   4.7429   0.5994   0.0000 -132.9649  16.7520       ML
 4_stroopfdminput   0.9254   2.8923   0.4363   0.2242   1.2070   2.2219   0.4259   0.8642   3.5427   0.4449   1.1964   2.6862   0.4117   0.0000 -87.2053   7.3020       ML
 5_stroopfdminput   1.3862   4.2129   0.3612   0.1258   1.0026   2.1221   0.3824   3.5162   4.3274   0.2137   1.4937   2.2402   0.4019   0.0000 -98.5822   8.2650       ML
 6_stroopfdminput   1.2128   3.7957   0.4393   0.2322   1.2818   1.8193   0.4931   0.9687   3.5261   0.4929   1.4735   3.7951   0.5509   0.0000 -110.4478  12.1060       ML
 7_stroopfdminput   2.0097   3.3232   0.3751   0.3570   1.5344   2.7689   0.4863   1.3460   2.7711   0.4392   1.3262   2.4238   0.5356   0.0000 -38.4464  16.2620       ML
 8_stroopfdminput   0.9821   3.8346   0.5058   0.4877   1.2293   2.6342   0.5337   4.8621  25.1166   0.5419   1.1890   2.0779   0.5641   0.0000 -43.8454  30.8660       ML
