"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","view_history","stimulus","possible_responses","stim_duration","exp_stage","correct","correct_response","feedback_duration","condition","stim_color","stim_word","responses","exp_id","credit_var"
"1850","13","text","0","1853","0.0-0.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","","","","","","","","","","","","","","","","",""
"10197","13","poldrack-text","1","13058","0.0-1.0-0.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take about 8 minutes. Press <strong>enter</strong> to begin.</p></div>","10197","0","instruction","","","","","","","","","","","","","",""
"16213","","poldrack-instructions","2","29271","0.0-1.0-1.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","","","instruction","[{""page_index"":0,""viewing_time"":16212}]","","","","","","","","","","","","",""
"2514","13","poldrack-text","3","32790","0.0-2.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","<div class = centerbox><p class = block-text>We will start with a few practice trials. Remember, press the key corresponding to the <strong>ink</strong> color of the word: ""r"" for words colored red, ""b"" for words colored blue, and ""g"" for words colored green.</p><p class = block-text>Press <strong>enter</strong> to begin practice.</p></div>","2514","1000","practice_intro","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","4","34298","0.0-3.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","500","500","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","",""
"1128","66","poldrack-categorize","5","36807","0.0-4.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","1500","250","stim","","<div class = centerbox><div class = stroop-stim style = ""color:blue"">GREEN</div></div>","66,71,82","1500","practice","true","66","500","incongruent","blue","green","","",""
"-1","-1","poldrack-single-stim","6","37565","0.0-5.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","500","500","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","",""
"558","66","poldrack-categorize","7","40078","0.0-6.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","1500","250","stim","","<div class = centerbox><div class = stroop-stim style = ""color:blue"">RED</div></div>","66,71,82","1500","practice","true","66","500","incongruent","blue","red","","",""
"-1","-1","poldrack-single-stim","8","40838","0.0-7.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","500","500","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","practice","","","","","","","","",""
"796","82","poldrack-categorize","9","43351","0.0-8.0","47817a4f-79b4-4ca3-84bf-af5e79014ae5","","1500","250","stim","","<div class = centerbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","66,71,82","1500","practice","true","82","500","incongruent","red","blue","","",""
