rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,view_history,stimulus,possible_responses,stim_duration,exp_stage,correct,correct_response,feedback_duration,condition,stim_color,stim_word,responses,exp_id,credit_var,stim_place,stim_id
3073,13,text,0,3074,0.0-0.0,ee984195-e057-498f-9d69-790b207351e0,,,,,,,,,,,,,,,,,,,,
2534,13,poldrack-text,1,6614,0.0-1.0-0.0,ee984195-e057-498f-9d69-790b207351e0,<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take about 8 minutes. Press <strong>enter</strong> to begin.</p></div>,2534,0,instruction,,,,,,,,,,,,,,,,
19294,,poldrack-instructions,2,25908,0.0-1.0-1.0,ee984195-e057-498f-9d69-790b207351e0,,,,instruction,"[{""page_index"":0,""viewing_time"":19293}]",,,,,,,,,,,,,,,
3052,13,poldrack-text,3,29965,0.0-2.0,ee984195-e057-498f-9d69-790b207351e0,"<div class = centerbox><p class = block-text>We will start with a few practice trials. Remember, press the key corresponding to the <strong>ink</strong> color of the word: ""r"" for words colored red, ""b"" for words colored blue, and ""g"" for words colored green.</p><p class = block-text>Press <strong>enter</strong> to begin practice.</p></div>",3052,1000,practice_intro,,,,,,,,,,,,,,,,
-1,-1,poldrack-single-stim,4,31475,0.0-3.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
1483,82,poldrack-categorize,5,33984,0.0-4.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","66,71,82",1500,practice,TRUE,82,500,incongruent,red,green,,,,,
-1,-1,poldrack-single-stim,6,34742,0.0-5.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
549,82,poldrack-categorize,7,37256,0.0-6.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">RED</div></div>","66,71,82",1500,practice,TRUE,82,500,congruent,red,red,,,,,
-1,-1,poldrack-single-stim,8,38010,0.0-7.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
641,66,poldrack-categorize,9,40524,0.0-8.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:blue"">GREEN</div></div>","66,71,82",1500,practice,TRUE,66,500,incongruent,blue,green,,,,,
-1,-1,poldrack-single-stim,10,41284,0.0-9.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
742,82,poldrack-categorize,11,43797,0.0-10.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","66,71,82",1500,practice,TRUE,82,500,incongruent,red,green,,,,,
-1,-1,poldrack-single-stim,12,44553,0.0-11.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
1002,66,poldrack-categorize,13,47065,0.0-12.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:blue"">RED</div></div>","66,71,82",1500,practice,TRUE,66,500,incongruent,blue,red,,,,,
-1,-1,poldrack-single-stim,14,47826,0.0-13.0,ee984195-e057-498f-9d69-790b207351e0,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
897,82,poldrack-categorize,15,50339,0.0-14.0,ee984195-e057-498f-9d69-790b207351e0,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","66,71,82",1500,practice,TRUE,82,500,incongruent,red,blue,,,,,
