rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,view_history,stimulus,possible_responses,stim_duration,exp_stage,stim_place,stim_id,condition,correct,correct_response,responses,exp_id,feedback_duration,stim_color,stim_word,credit_var
22375,13,text,0,22377,0.0-0.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,,,,,,,,,,,,,,,,,,,
1292,13,poldrack-text,389,457152,0.0-388.0-0.0,1033ca98-d7f6-4c03-a02f-77aa08858248,<div class = centerbox><p class = center-block-text>Done with instructions. Press <strong>enter</strong> to continue.</p></div>,1292,0,instruction,,,,,,,,,,,,,,,,
44867,,poldrack-instructions,390,502019,0.0-388.0-1.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,,,instruction,"[{""page_index"":0,""viewing_time"":44866}]",,,,,,,,,,,,,,,
7686,13,poldrack-text,391,510714,0.0-389.0,1033ca98-d7f6-4c03-a02f-77aa08858248,"<div class = centerbox><p class = block-text>We will start with a few practice trials. Remember, press the key corresponding to the <strong>ink</strong> color of the word: ""r"" for words colored red, ""b"" for words colored blue, and ""g"" for words colored green.</p><p class = block-text>Press <strong>enter</strong> to begin practice.</p></div>",7686,1000,practice_intro,,,,,,,,,,,,,,,,
-1,-1,poldrack-single-stim,392,512225,0.0-390.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
1246,66,poldrack-categorize,393,514738,0.0-391.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:blue"">BLUE</div></div>","66,71,82",1500,practice,,,congruent,TRUE,66,,,500,blue,blue,
-1,-1,poldrack-single-stim,394,515499,0.0-392.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
942,82,poldrack-categorize,395,518012,0.0-393.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">RED</div></div>","66,71,82",1500,practice,,,congruent,TRUE,82,,,500,red,red,
-1,-1,poldrack-single-stim,396,518773,0.0-394.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,500,500,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,500,practice,,,,,,,,,,,
1157,82,poldrack-categorize,397,521286,0.0-395.0,1033ca98-d7f6-4c03-a02f-77aa08858248,,1500,250,stim,,"<div class = centerbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","66,71,82",1500,practice,,,incongruent,TRUE,82,,,500,red,blue,
