sub	session	blocknum	trial	letterset	load	letter	resp	acc	RT	stim
10	1	1	1	Y	L	r	0	Miss	0	S
10	1	1	2	Y	L	m	0	Miss	0	S
10	1	1	3	Y	L	y	0	Miss	0	S
10	1	1	4	Y	L	r	0	Miss	0	S
10	1	1	5	Y	L	j	0	Miss	0	S
10	1	1	6	Y	L	y	1	Correct	752	S
10	1	1	7	Y	L	a	2	Correct	620	S
10	1	1	8	Y	L	y	1	Correct	481	S
10	1	1	9	Y	L	y	1	Correct	477	S
10	1	1	10	Y	L	h	2	Correct	586	S
10	1	1	11	Y	L	m	2	Correct	559	S
10	1	1	12	Y	L	y	1	Correct	803	S
10	1	1	13	Y	L	b	2	Correct	448	S
10	1	1	14	Y	L	y	1	Correct	508	S
10	1	1	15	Y	L	k	2	Correct	640	S
10	1	1	16	Y	L	r	2	Correct	644	S
10	1	1	17	Y	L	k	2	Correct	489	S
10	1	1	18	Y	L	w	2	Correct	558	S
10	1	1	19	Y	L	e	2	Correct	482	S
10	1	1	20	Y	L	y	1	Correct	551	S
10	1	1	21	Y	L	y	1	Correct	476	S
10	1	1	22	Y	L	y	1	Correct	480	S
10	1	1	23	Y	L	a	2	Correct	604	S
10	1	1	24	Y	L	t	2	Correct	457	S
10	1	1	25	Y	L	y	1	Correct	590	S
10	1	2	1	J	L	n	2	Correct	552	S
10	1	2	2	J	L	j	1	Correct	604	S
10	1	2	3	J	L	m	2	Correct	729	S
10	1	2	4	J	L	j	1	Correct	429	S
10	1	2	5	J	L	j	1	Correct	418	S
10	1	2	6	J	L	j	1	Correct	382	S
10	1	2	7	J	L	f	2	Correct	578	S
10	1	2	8	J	L	j	1	Correct	606	S
10	1	2	9	J	L	y	2	Correct	563	S
10	1	2	10	J	L	j	1	Correct	431	S
10	1	2	11	J	L	j	1	Correct	548	S
10	1	2	12	J	L	j	1	Correct	425	S
10	1	2	13	J	L	y	2	Correct	445	S
10	1	2	14	J	L	j	1	Correct	442	S
10	1	2	15	J	L	j	1	Correct	366	S
10	1	2	16	J	L	f	2	Correct	490	S
10	1	2	17	J	L	j	1	Correct	399	S
10	1	2	18	J	L	j	1	Correct	491	S
10	1	2	19	J	L	w	2	Correct	479	S
10	1	2	20	J	L	j	1	Correct	468	S
10	1	2	21	J	L	j	1	Correct	360	S
10	1	2	22	J	L	k	2	Correct	405	S
10	1	2	23	J	L	j	1	Correct	418	S
10	1	2	24	J	L	u	2	Correct	438	S
10	1	2	25	J	L	j	1	Correct	435	S
10	1	3	1	J  H  B  F  E	H	h	0	Miss	0	S
10	1	3	2	J  H  B  F  E	H	b	0	Miss	0	S
10	1	3	3	J  H  B  F  E	H	a	2	Incorrect	607	S
10	1	3	4	J  H  B  F  E	H	r	2	Incorrect	827	S
10	1	3	5	J  H  B  F  E	H	q	2	Incorrect	503	S
10	1	3	6	J  H  B  F  E	H	t	2	Incorrect	764	S
10	1	3	7	J  H  B  F  E	H	e	1	Correct	881	S
10	1	3	8	J  H  B  F  E	H	b	1	Correct	725	S
10	1	3	9	J  H  B  F  E	H	h	1	Correct	625	S
10	1	3	10	J  H  B  F  E	H	h	1	Correct	462	S
10	1	3	11	J  H  B  F  E	H	u	2	Incorrect	539	S
10	1	3	12	J  H  B  F  E	H	q	2	Incorrect	735	S
10	1	3	13	J  H  B  F  E	H	g	2	Incorrect	564	S
10	1	3	14	J  H  B  F  E	H	t	2	Incorrect	585	S
10	1	3	15	J  H  B  F  E	H	f	1	Correct	525	S
10	1	3	16	J  H  B  F  E	H	n	2	Incorrect	577	S
10	1	3	17	J  H  B  F  E	H	a	2	Incorrect	582	S
10	1	3	18	J  H  B  F  E	H	q	2	Incorrect	658	S
10	1	3	19	J  H  B  F  E	H	h	1	Correct	390	S
10	1	3	20	J  H  B  F  E	H	w	2	Incorrect	499	S
10	1	3	21	J  H  B  F  E	H	f	1	Correct	504	S
10	1	3	22	J  H  B  F  E	H	w	2	Incorrect	516	S
10	1	3	23	J  H  B  F  E	H	e	1	Correct	369	S
10	1	3	24	J  H  B  F  E	H	h	1	Correct	534	S
10	1	3	25	J  H  B  F  E	H	w	2	Incorrect	482	S
10	1	4	1	R  Y  T  F  M	H	w	2	Incorrect	542	S
10	1	4	2	R  Y  T  F  M	H	m	2	Incorrect	514	S
10	1	4	3	R  Y  T  F  M	H	t	1	Correct	759	S
10	1	4	4	R  Y  T  F  M	H	k	2	Incorrect	604	S
10	1	4	5	R  Y  T  F  M	H	u	2	Incorrect	632	S
10	1	4	6	R  Y  T  F  M	H	d	2	Incorrect	564	S
10	1	4	7	R  Y  T  F  M	H	a	2	Incorrect	737	S
