"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
829 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
628 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
919 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
699 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
906 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
816 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
597 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
1172 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
673 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
527 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
1005 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
705 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
637 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
499 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
598 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
667 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
440 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
518 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
471 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
955 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
502 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
451 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
647 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
638 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
858 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
616 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
699 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
697 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
695 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
941 66 71 "FALSE" "incongruent" "green" "blue" "1" 10 "S" NA
-1 -1 82 "FALSE" "incongruent" "red" "blue" "1" 10 "S" TRUE
1351 66 71 "FALSE" "incongruent" "green" "blue" "1" 10 "S" NA
581 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
1003 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
747 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
789 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
681 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
814 71 82 "FALSE" "incongruent" "red" "green" "1" 10 "S" NA
732 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
617 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
833 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
893 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
602 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
1112 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
975 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
548 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
1353 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
916 66 82 "FALSE" "incongruent" "red" "blue" "1" 10 "S" NA
801 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
885 66 71 "FALSE" "incongruent" "green" "blue" "1" 10 "S" NA
1251 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
602 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
782 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
1213 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
644 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
1151 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
635 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
882 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
1026 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
875 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
849 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
848 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
885 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
731 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
893 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
1188 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
1247 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
1212 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
903 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
540 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
810 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
616 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
497 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
465 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
493 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
585 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
952 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
845 82 82 "TRUE" "incongruent" "red" "blue" "1" 10 "S" NA
955 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
751 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
638 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
1184 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
703 66 66 "TRUE" "congruent" "blue" "blue" "1" 10 "S" NA
701 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
587 82 82 "TRUE" "congruent" "red" "red" "1" 10 "S" NA
1392 71 66 "FALSE" "incongruent" "blue" "red" "1" 10 "S" NA
1148 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
1244 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
710 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
495 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
1046 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
953 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
957 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
955 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
833 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
823 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
431 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
630 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
833 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
785 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
